,BEZIRKSNUMMER,Partei,Ergebnis
6,70,SPD,44.25
1,212,CDU,40.92
0,142,AfD,30.98
2,182,Die Linke,16.21
4,102,GRÜNE,12.61
3,212,FDP,5.55
7,70,Team Toden,3.37
5,50,MLPD,1.02
